Identifier_1,sample,amount,Area 28,Area 44,d13C_corrected,d15N_corrected,N_wt_percent,C_wt_percent,C/N
17378,blank,0,NA,173.024,-40.9044236,NA,NA,Inf,NA
17465,costech acetanilide,0.298,109.444,147.534,-28.44117407,-0.621045283,10.4872045,71.00409396,6.77054538
17452,costech acetanilide,0.435,159.077,216.682,-28.36485941,-0.706482338,10.3535964,70.8620829,6.844199848
17426,costech acetanilide,0.352,127.389,174.821,-28.25789772,-0.759086834,10.29441749,70.94746252,6.891838475
17387,costech acetanilide,0.367,134.289,181.412,-28.45920016,-0.682490506,10.39589187,70.55810176,6.787113858
17379,costech acetanilide,0.332,123.342,165.333,-28.54695244,-0.687653535,10.57597515,71.22661427,6.734756208
17460,deer.000.1,3.003,411.771,270.133,-25.76483916,3.978549557,3.837080035,12.75278129,3.323564057
17461,deer.000.2,3.788,522.667,344.672,-25.65909909,3.849052093,3.855080834,12.86060295,3.336013822
17462,deer.000.3,3.112,431.331,283.156,-25.76331385,3.945126738,3.877268089,12.89106993,3.324781685
17439,Mb squid,0.669,286.866,210.875,-18.48879515,11.99123907,12.0378722,44.86290015,3.726813129
17413,Mb squid,0.473,198.504,145.648,-18.69595084,11.99918188,11.83711563,44.17671738,3.732050844
17400,Mb squid,0.472,200.717,147.524,-18.80972871,11.96370714,11.9924257,44.82589441,3.7378505
17386,Mb squid,0.536,228.305,165.436,-18.85432853,11.87009173,11.99015121,44.14483898,3.681758319
17457,shark.000.1,4.17,365.949,225.844,-15.11885775,12.12158706,2.458028735,7.699210392,3.132270296
17458,shark.000.2,3.949,350.061,214.35,-15.1193058,12.1085108,2.483835888,7.72322859,3.109395684
17459,shark.000.3,4.868,437.211,268.847,-15.0559261,11.99697929,2.512198787,7.830082159,3.116824273
17388,shark.005.1,0.873,163.642,95.874,-15.15389394,11.84922597,5.304254102,15.96560944,3.009963161
17389,shark.005.2,1.107,217.915,128.667,-15.24646816,11.88293601,5.54482742,16.73163028,3.017520476
17390,shark.005.3,0.953,182.949,107.974,-15.19105231,11.87544669,5.421713896,16.40017188,3.024905444
17391,shark.010.1,0.199,203.122,119.498,-15.26681087,11.94577503,9.593345464,28.8781155,3.01022366
17392,shark.010.2,0.298,104.977,61.27,-15.23809009,11.73197843,10.07083769,30.53990099,3.032508508
17393,shark.010.3,0.473,152.197,87.037,-15.09267222,11.76416551,9.11778563,26.85561433,2.94540971
17394,shark.015.1,0.305,115.827,66.972,-15.20559997,11.64016512,10.82781602,32.45225911,2.997119554
17395,shark.015.2,0.596,187.675,109.225,-15.15110699,11.8166929,8.889538164,26.5171705,2.982963796
17396,shark.015.3,0.573,176.709,102.678,-15.11673695,11.80207866,8.714779105,25.98441114,2.981648855
17397,shark.020.1,0.488,171.837,100.656,-15.25271591,11.78081319,9.955413249,29.93119728,3.006524846
17401,shark.020.2,0.692,201.092,117.889,-15.16189617,11.76841668,8.194857069,24.58861626,3.000493609
17402,shark.020.3,0.651,72.737,43.329,-15.29326177,11.45774075,3.234404864,10.12753491,3.131189611
17403,shark.025.1,0.597,187.041,110.048,-15.21697225,11.79129797,8.845149899,26.66545373,3.014697776
17404,shark.025.2,0.774,228.261,134.448,-15.11892106,11.81897293,8.301678149,24.97416821,3.008327685
17405,shark.025.3,0.847,252.62,148.98,-15.14111977,11.83104966,8.385011709,25.2200091,3.007748823
17406,shark.030.1,0.472,140.176,84.539,-15.33727828,11.72011415,8.429686762,26.17272261,3.104827421
17407,shark.030.2,0.5,156.576,92.668,-15.08319268,11.72445851,8.86869117,26.97965889,3.042124072
17408,shark.030.3,0.806,227.152,134.437,-15.19748141,11.84778991,7.93386455,23.98073023,3.02257873
17409,shark.035.1,0.778,229.429,135.016,-15.09404834,11.78969492,8.300696345,24.94781944,3.005509225
17410,shark.035.2,0.627,183.081,108.75,-15.17657567,11.77260896,8.246506908,25.10021724,3.043739309
17414,shark.035.3,0.654,203.545,120.67,-15.12409047,11.86401362,8.775193688,26.61171535,3.032607176
17415,shark.040.1,0.597,200.264,117.446,-15.04284019,11.81912196,9.460372209,28.3976518,3.001747836
17416,shark.040.2,0.735,228.798,134.877,-15.06328184,11.86358146,8.762469156,26.38091638,3.010671526
17417,shark.040.3,0.691,224.201,133.301,-15.17234205,11.9135537,9.135639054,27.74193041,3.036671025
17418,shark.045.1,0.441,137.92,81.458,-15.09173241,11.66057439,8.880155393,27.03594213,3.044534801
17419,shark.045.2,0.75,207.525,122.297,-15.03705868,11.87845015,7.799369145,23.50865394,3.014173775
17420,shark.045.3,0.391,130.801,77.454,-15.16307354,11.71127103,9.509995221,29.06177807,3.055919314
17421,shark.050.1,0.402,164.509,98.411,-15.31667561,11.9392353,11.57884576,35.55375405,3.070578431
17422,shark.050.2,0.519,168.333,99.088,-15.03584795,11.80922197,9.173242888,27.72108462,3.021950356
17423,shark.050.3,0.783,238.079,140.645,-15.06735121,11.84370485,8.55454389,25.79341995,3.015171853
17427,shark.055.1,0.412,171.354,101.418,-15.15352818,11.87287964,11.75928556,35.7110187,3.036835743
17428,shark.055.2,0.561,183.4,109.591,-15.16072694,11.87118736,9.232478632,28.26273543,3.061229444
17429,shark.055.3,0.528,157.421,93.328,-15.08940079,11.87450599,8.442834597,25.72364944,3.046802487
17430,shark.060.1,0.537,176.394,105.414,-15.12795969,11.89459207,9.28271667,28.43857856,3.063605146
17431,shark.060.2,0.584,177.6,106.074,-15.06392607,11.94120341,8.593008947,26.30783244,3.061539049
17432,shark.060.3,0.611,173.298,103.16,-15.07242405,11.92243081,8.01771363,24.4786309,3.053068747
17433,shark.070.1,0.577,223.492,131.506,-15.0198713,11.93474545,10.90646984,32.78814832,3.00630257
17434,shark.070.2,0.7,256.325,151.606,-15.06114099,11.93091801,10.29288084,31.04060081,3.015734982
17435,shark.070.3,0.373,150.294,89.014,-15.02697238,11.94494438,11.42052027,34.79640376,3.046831752
17436,shark.080.1,0.552,213.65,125.514,-14.9475721,11.94104055,10.9051766,32.75575303,3.003688452
17440,shark.080.2,0.445,163.245,96.364,-15.10163564,11.93898868,10.38109346,31.47521622,3.031975037
17441,shark.080.3,0.578,212.14,125.321,-15.08373893,11.9817076,10.34206761,31.23563556,3.020250568
17442,shark.090.1,0.558,196.054,116.163,-15.05885374,11.93558585,9.912013339,30.06103085,3.03278757
17443,shark.090.2,0.68,200.017,118.698,-15.03491741,11.98367139,8.295560927,25.1888349,3.03642335
17444,shark.090.3,0.589,195.272,115.544,-15.0386638,11.90589989,9.353450383,28.33196758,3.029039169
17445,shark.100.1,0.214,92.811,56.652,-15.41295165,11.88137695,12.44477383,39.51106471,3.174912236
17446,shark.100.2,0.715,245.174,144.299,-15.0561147,11.94506768,9.643750529,28.96086527,3.003070764
17447,shark.100.3,0.634,207.3,122.444,-15.13997672,12.00975032,9.216525492,27.84233234,3.020914157
17448,shark.110.1,0.544,182.227,107.133,-15.14439268,11.90650158,9.461100664,28.51434822,3.013851055
17449,shark.110.2,0.397,161.485,95.704,-15.22883098,11.95733033,11.51309842,35.04839738,3.044219383
