wavenumber,absorbance,file_name,time_min
400,0.5477592744082695,shark.000.1,0
401,0.5512689555859003,shark.000.1,0
402,0.5547861339448621,shark.000.1,0
403,0.5582664082395838,shark.000.1,0
404,0.5616599251720946,shark.000.1,0
405,0.5649161131790232,shark.000.1,0
406,0.5679906072929719,shark.000.1,0
407,0.5708537290915825,shark.000.1,0
408,0.5734990907314281,shark.000.1,0
409,0.5759502521501758,shark.000.1,0
410,0.5782632441483775,shark.000.1,0
411,0.5805234236143546,shark.000.1,0
412,0.5828364751896431,shark.000.1,0
413,0.5853149822712076,shark.000.1,0
414,0.5880632625934143,shark.000.1,0
415,0.5911636470080621,shark.000.1,0
416,0.5946669679819272,shark.000.1,0
417,0.5985889388170369,shark.000.1,0
418,0.6029127268527037,shark.000.1,0
419,0.6075967212997135,shark.000.1,0
420,0.6125855331312702,shark.000.1,0
421,0.6178217864210331,shark.000.1,0
422,0.6232563064272327,shark.000.1,0
423,0.6288548231431574,shark.000.1,0
424,0.6346001540080677,shark.000.1,0
425,0.6404898196053379,shark.000.1,0
426,0.6465299850042252,shark.000.1,0
427,0.6527273388608095,shark.000.1,0
428,0.6590809070081329,shark.000.1,0
429,0.6655757916630161,shark.000.1,0
430,0.6721804343219395,shark.000.1,0
431,0.6788482786293193,shark.000.1,0
432,0.6855237743671396,shark.000.1,0
433,0.692151684964815,shark.000.1,0
434,0.698687846237559,shark.000.1,0
435,0.70510908076171,shark.000.1,0
436,0.7114200502274417,shark.000.1,0
437,0.7176554601293896,shark.000.1,0
438,0.723877096631236,shark.000.1,0
439,0.7301664101346828,shark.000.1,0
440,0.7366144212332224,shark.000.1,0
441,0.7433112971348257,shark.000.1,0
442,0.7503378539200014,shark.000.1,0
443,0.7577605162275529,shark.000.1,0
444,0.7656301534804186,shark.000.1,0
445,0.7739840795165585,shark.000.1,0
446,0.7828497132244556,shark.000.1,0
447,0.792248176538898,shark.000.1,0
448,0.8021964634882235,shark.000.1,0
449,0.8127075544463505,shark.000.1,0
450,0.8237886595640269,shark.000.1,0
451,0.8354383505171612,shark.000.1,0
452,0.8476435011021801,shark.000.1,0
453,0.8603767086190395,shark.000.1,0
454,0.873594379103475,shark.000.1,0
455,0.8872351867407524,shark.000.1,0
456,0.9012183980296242,shark.000.1,0
457,0.9154417092702398,shark.000.1,0
458,0.9297787479903719,shark.000.1,0
459,0.944077054945623,shark.000.1,0
460,0.9581579300052381,shark.000.1,0
461,0.9718197363303136,shark.000.1,0
462,0.9848459513023282,shark.000.1,0
463,0.9970184212818414,shark.000.1,0
464,1.0081350780415095,shark.000.1,0
465,1.0180300962657993,shark.000.1,0
466,1.0265934609551775,shark.000.1,0
467,1.0337864845053666,shark.000.1,0
468,1.039650156279175,shark.000.1,0
469,1.0443043254014588,shark.000.1,0
470,1.0479374038357474,shark.000.1,0
471,1.050788150430622,shark.000.1,0
472,1.053122692156041,shark.000.1,0
473,1.0552108350133131,shark.000.1,0
474,1.0573056678263548,shark.000.1,0
475,1.0596294828784214,shark.000.1,0
476,1.0623674103348184,shark.000.1,0
477,1.0656683488124552,shark.000.1,0
478,1.0696512561279112,shark.000.1,0
479,1.0744139890564401,shark.000.1,0
480,1.0800417596084648,shark.000.1,0
481,1.0866127864192137,shark.000.1,0
482,1.0941996092838022,shark.000.1,0
483,1.1028655549084807,shark.000.1,0
484,1.1126568520785638,shark.000.1,0
485,1.1235918682743962,shark.000.1,0
486,1.135649877133626,shark.000.1,0
487,1.148762569798463,shark.000.1,0
488,1.1628119293907264,shark.000.1,0
489,1.1776377196204133,shark.000.1,0
490,1.1930563843779625,shark.000.1,0
491,1.208890599348136,shark.000.1,0
492,1.2250054992057227,shark.000.1,0
493,1.2413446010364058,shark.000.1,0
494,1.2579567327923729,shark.000.1,0
495,1.2750057438547502,shark.000.1,0
496,1.2927577327144566,shark.000.1,0
497,1.3115454793307983,shark.000.1,0
498,1.331715476796673,shark.000.1,0
499,1.3535677861286375,shark.000.1,0
500,1.3773013967597127,shark.000.1,0
501,1.40297702788943,shark.000.1,0
502,1.4305054768782035,shark.000.1,0
503,1.4596637660233776,shark.000.1,0
504,1.4901350922429564,shark.000.1,0
505,1.5215636167604043,shark.000.1,0
506,1.553612628050155,shark.000.1,0
507,1.5860149482963872,shark.000.1,0
508,1.6186071833772508,shark.000.1,0
509,1.6513435215511671,shark.000.1,0
510,1.6842890811365279,shark.000.1,0
511,1.717596318484977,shark.000.1,0
512,1.7514701979373124,shark.000.1,0
513,1.7861286214111638,shark.000.1,0
514,1.8217642714659439,shark.000.1,0
515,1.85851292370978,shark.000.1,0
516,1.8964317855907888,shark.000.1,0
517,1.93548976679393,shark.000.1,0
518,1.9755699383669376,shark.000.1,0
519,2.0164829157811663,shark.000.1,0
520,2.0579886382532857,shark.000.1,0
521,2.0998231561234357,shark.000.1,0
522,2.141726692969659,shark.000.1,0
523,2.1834694522546734,shark.000.1,0
524,2.2248723184007826,shark.000.1,0
525,2.265820602767573,shark.000.1,0
526,2.306270114426999,shark.000.1,0
527,2.346245919274639,shark.000.1,0
528,2.3858350590263084,shark.000.1,0
529,2.4251751460788986,shark.000.1,0
530,2.4644410681698297,shark.000.1,0
531,2.5038319849205406,shark.000.1,0
532,2.5435603725411604,shark.000.1,0
533,2.5838441425722785,shark.000.1,0
534,2.624901987944731,shark.000.1,0
535,2.6669513261246482,shark.000.1,0
536,2.7102077411594,shark.000.1,0
537,2.7548847992468897,shark.000.1,0
538,2.801193479158946,shark.000.1,0
539,2.849340999848369,shark.000.1,0
