sample,time,temperature,aliquot,vial_name,sample_wt_initial,sample_wt_final,notes
Capra,1080,5,1,goat.1080.1,2.542,0.218,
Capra,1080,5,2,goat.1080.2,2,0.151,
Capra,1080,5,3,goat.1080.3,2.15,0.18,
Capra,110,5,1,goat.110.1,2.429,0.234,
Capra,110,5,2,goat.110.2,2.432,0.24,
Capra,110,5,3,goat.110.3,2.46,0.227,
Capra,120,5,1,goat.120.1,2.433,0.244,
Capra,120,5,2,goat.120.2,2.484,0.26,
Capra,120,5,3,goat.120.3,2.544,0.261,
Capra,1440,5,1,goat.1440.1,2.072,0.092,collagen stuck to vial and un-recoverable
Capra,1440,5,2,goat.1440.2,2.154,0.158,
Capra,1440,5,3,goat.1440.3,2.061,0.231,
Prionace,0,5,,shark.000.1,1,1,
Prionace,0,5,,shark.000.2,1,1,
Prionace,0,5,,shark.000.3,1,1,
Prionace,5,5,1,shark.005.1,3.946,1.319,
Prionace,5,5,2,shark.005.2,3.958,1.359,
Prionace,5,5,3,shark.005.3,3.915,1.377,
Prionace,10,5,1,shark.010.1,4.098,0.935,
Prionace,10,5,2,shark.010.2,4.049,0.882,
Prionace,10,5,3,shark.010.3,3.961,0.849,
Prionace,15,5,1,shark.015.1,3.997,0.776,
Prionace,15,5,2,shark.015.2,3.914,0.863,
Prionace,15,5,3,shark.015.3,4.131,0.892,
Prionace,20,5,1,shark.020.1,3.946,0.822,
Prionace,20,5,2,shark.020.2,3.943,0.886,
Prionace,20,5,3,shark.020.3,4.082,0.888,
Prionace,25,5,1,shark.025.1,4.197,0.841,
Prionace,25,5,2,shark.025.2,4.054,0.967,
Prionace,25,5,3,shark.025.3,4.08,0.933,
Prionace,30,5,1,shark.030.1,4.185,1.026,
Prionace,30,5,2,shark.030.2,3.906,0.914,
Prionace,30,5,3,shark.030.3,3.963,0.963,
Prionace,35,5,1,shark.035.1,3.978,0.917,
Prionace,35,5,2,shark.035.2,4.019,0.937,
Prionace,35,5,3,shark.035.3,4.008,0.956,
Prionace,40,5,1,shark.040.1,3.933,0.868,
Prionace,40,5,2,shark.040.2,4.033,0.945,
Prionace,40,5,3,shark.040.3,4.076,0.83,
Prionace,45,5,1,shark.045.1,3.943,0.729,
Prionace,45,5,2,shark.045.2,4.029,0.858,
Prionace,45,5,3,shark.045.3,3.981,0.884,
Prionace,50,5,1,shark.050.1,4.077,0.785,
Prionace,50,5,2,shark.050.2,3.974,0.854,
Prionace,50,5,3,shark.050.3,3.92,0.898,
Prionace,55,5,1,shark.055.1,3.922,0.902,
Prionace,55,5,2,shark.055.2,4.033,0.847,
Prionace,55,5,3,shark.055.3,3.929,0.942,
Prionace,60,5,1,shark.060.1,3.953,0.754,
Prionace,60,5,2,shark.060.2,3.943,0.902,
Prionace,60,5,3,shark.060.3,4.011,0.825,
Prionace,70,5,1,shark.070.1,4.017,0.693,
Prionace,70,5,2,shark.070.2,3.956,0.775,
Prionace,70,5,3,shark.070.3,3.917,0.782,
Prionace,80,5,1,shark.080.1,4.11,0.72,
Prionace,80,5,2,shark.080.2,3.995,0.705,
Prionace,80,5,3,shark.080.3,4.049,0.698,
