AP,time,file_name,species
1.210601840514462,0,deer.000.1,deer
1.1722769910300603,0,deer.000.2,deer
1.1629776953947004,0,deer.000.3,deer
2.1913599088721503,5,deer.005.1,deer
2.541821899730699,5,deer.005.2,deer
2.8520134184119175,5,deer.005.3,deer
5.912968697676845,10,deer.010.1,deer
2.773454561563871,10,deer.010.2,deer
2.0251765434851037,10,deer.010.3,deer
5.386848590404736,15,deer.015.1,deer
7.149408978980783,15,deer.015.2,deer
3.1494419609265707,15,deer.015.3,deer
7.5094346717821985,20,deer.020.1,deer
6.5547798445811845,20,deer.020.2,deer
6.22734353807913,20,deer.020.3,deer
4.611034038226853,25,deer.025.1,deer
6.0908338737022705,25,deer.025.2,deer
5.764887040617748,25,deer.025.3,deer
6.904697223227715,30,deer.030.1,deer
5.338837724651784,30,deer.030.2,deer
5.52807008773634,30,deer.030.3,deer
6.373903812867037,35,deer.035.1,deer
3.9458700220499905,35,deer.035.2,deer
5.631228209914481,35,deer.035.3,deer
7.651742953427622,40,deer.040.1,deer
6.40007623361268,40,deer.040.2,deer
5.182061301220817,40,deer.040.3,deer
6.112500088213765,45,deer.045.1,deer
5.358957391382205,45,deer.045.2,deer
4.392430323746548,45,deer.045.3,deer
7.215669483540773,50,deer.050.1,deer
7.944466752460053,50,deer.050.2,deer
6.955525448573355,50,deer.050.3,deer
8.591700711794317,55,deer.055.1,deer
8.505460544636106,55,deer.055.2,deer
8.592489804774791,55,deer.055.3,deer
8.000476423326692,60,deer.060.1,deer
7.3011364278439235,60,deer.060.2,deer
6.355790070273681,60,deer.060.3,deer
8.425209924875123,70,deer.070.1,deer
6.479099103635266,70,deer.070.2,deer
6.8141599952188585,70,deer.070.3,deer
8.815745330541242,80,deer.080.1,deer
8.156309021188177,80,deer.080.2,deer
8.460479029457606,80,deer.080.3,deer
7.4798929883113745,90,deer.090.1,deer
8.54862061771266,90,deer.090.2,deer
8.50161444582675,90,deer.090.3,deer
7.17524811402245,100,deer.100.1,deer
6.956262113288045,100,deer.100.2,deer
7.829659293421614,100,deer.100.3,deer
6.942799439153457,110,deer.110.1,deer
5.9545833232783965,110,deer.110.2,deer
6.40545606055586,110,deer.110.3,deer
8.181410067806697,120,deer.120.1,deer
7.711496359012023,120,deer.120.2,deer
7.479160242834414,120,deer.120.3,deer
