wavenumber,absorbance,file_name,time_min
399.87411,0.2258557980388889,deer.000.1.dpt,0
400.87411,0.22547764973978057,deer.000.1.dpt,0
401.87411,0.2255726897022643,deer.000.1.dpt,0
402.87411,0.22611201200376185,deer.000.1.dpt,0
403.87411,0.22706671072169238,deer.000.1.dpt,0
404.87411,0.228407879933475,deer.000.1.dpt,0
405.87411,0.23010661371653018,deer.000.1.dpt,0
406.87411,0.23213400614827773,deer.000.1.dpt,0
407.87411,0.23446115130613765,deer.000.1.dpt,0
408.87411,0.23705914326752908,deer.000.1.dpt,0
409.87411,0.2398990761098725,deer.000.1.dpt,0
410.87411,0.24295204391058767,deer.000.1.dpt,0
411.87411,0.24618914074709375,deer.000.1.dpt,0
412.87411,0.24958146069681142,deer.000.1.dpt,0
413.87411,0.25310009783716003,deer.000.1.dpt,0
414.87411,0.25671614624555916,deer.000.1.dpt,0
415.87411,0.26040069999942905,deer.000.1.dpt,0
416.87411,0.26412485317618994,deer.000.1.dpt,0
417.87411,0.2678650151778721,deer.000.1.dpt,0
418.87411,0.27161885670495156,deer.000.1.dpt,0
419.87411,0.27538936378251666,deer.000.1.dpt,0
420.87411,0.27917952243565436,deer.000.1.dpt,0
421.87411,0.2829923186894523,deer.000.1.dpt,0
422.87411,0.2868307385689979,deer.000.1.dpt,0
423.87411,0.290697768099379,deer.000.1.dpt,0
424.87411,0.2945963933056819,deer.000.1.dpt,0
425.87411,0.298529600212996,deer.000.1.dpt,0
426.87411,0.3025003748464068,deer.000.1.dpt,0
427.87411,0.3065117032310032,deer.000.1.dpt,0
428.87411,0.31056657139187194,deer.000.1.dpt,0
429.87411,0.31466796535410047,deer.000.1.dpt,0
430.87411,0.31881887114277685,deer.000.1.dpt,0
431.87411,0.3230222747829876,deer.000.1.dpt,0
432.87411,0.3272811622998213,deer.000.1.dpt,0
433.87411,0.33159851971836485,deer.000.1.dpt,0
434.87411,0.3359773330637059,deer.000.1.dpt,0
435.87411,0.34042067249956776,deer.000.1.dpt,0
436.87411,0.3449319447442185,deer.000.1.dpt,0
437.87411,0.34951464065456195,deer.000.1.dpt,0
438.87411,0.3541722510875016,deer.000.1.dpt,0
439.87411,0.3589082668999426,deer.000.1.dpt,0
440.87411,0.363726178948788,deer.000.1.dpt,0
441.87411,0.3686294780909414,deer.000.1.dpt,0
