AP,time,file_name,species
0.2615905024170337,0,shark.000.1,shark
0.2615028467944686,0,shark.000.2,shark
0.2867176828155492,0,shark.000.3,shark
1.2572052778379217,5,shark.005.1,shark
1.2887798728434932,5,shark.005.2,shark
3.462999419522302,5,shark.005.3,shark
2.388572310433342,10,shark.010.1,shark
4.039353413095089,10,shark.010.2,shark
4.039353413095089,10,shark.010.3,shark
4.424191361960336,15,shark.015.1,shark
1.3532974300379148,15,shark.015.2,shark
4.5741602459560555,15,shark.015.3,shark
2.9555082684880634,20,shark.020.1,shark
3.315092836168106,20,shark.020.2,shark
2.3768779962014586,20,shark.020.3,shark
1.4485101870160633,25,shark.025.1,shark
1.3032414892593067,25,shark.025.2,shark
1.201050650955248,25,shark.025.3,shark
2.1433412309938076,30,shark.030.1,shark
3.635408140267499,30,shark.030.2,shark
2.3685754995547326,30,shark.030.3,shark
1.7487151709337925,35,shark.035.1,shark
1.574945347629401,35,shark.035.2,shark
1.083548108242356,35,shark.035.3,shark
5.563265701007366,40,shark.040.1,shark
5.327456498072267,40,shark.040.2,shark
1.473466070004068,40,shark.040.3,shark
2.3142017851842365,45,shark.045.1,shark
3.932332287214298,45,shark.045.2,shark
2.304100882385632,45,shark.045.3,shark
1.6406305075633918,50,shark.050.1,shark
3.792983685418674,50,shark.050.2,shark
4.487073043953486,50,shark.050.3,shark
2.748343527273401,55,shark.055.1,shark
3.085423476191487,55,shark.055.2,shark
1.1767436901029933,55,shark.055.3,shark
2.783011646103077,60,shark.060.1,shark
3.9122712747120363,60,shark.060.2,shark
2.4451546306240783,60,shark.060.3,shark
4.52233977424443,70,shark.070.1,shark
3.6771118918302723,70,shark.070.2,shark
1.6941542378093997,70,shark.070.3,shark
4.840958805870186,80,shark.080.1,shark
3.9465914266205924,80,shark.080.2,shark
3.1702682222761585,80,shark.080.3,shark
4.524388509253172,90,shark.090.1,shark
1.690231227600754,90,shark.090.2,shark
1.3380083163919811,90,shark.090.3,shark
2.113367437256593,100,shark.100.1,shark
2.933421204672377,100,shark.100.2,shark
3.833468807439682,100,shark.100.3,shark
6.842047173852981,1080,shark.1080.1,shark
6.540369865905395,1080,shark.1080.2,shark
